raha, raha, raha (mul on vähe raha)	деньги (у меня мало денег)
töö, töö, tööd (töö on raske)	работа (работа трудная)
mäng, mängu, mängu (mäng on lõbus)	игра (игра веселая)
film, filmi, filmi (film on huvitav)	фильм (фильм интересный)
raadio, raadio, raadiot (raadio mängib muusikat)	радио (радио играет музыку)
teler, teleri, telerit (teler näitab uudiseid)	телевизор (телевизор показывает новости)
pilt, pildi, pilti (pilt on ilus)	картина (картина красивая)
muusika, muusika, muusikat (muusika on rahustav)	музыка (музыка успокаивающая)
laul, laulu, laulu (laul on ilus)	песня (песня красивая)
tants, tantsu, tantsu (tants on energiline)	танец (танец энергичный)
sport, spordi, sporti (sport on tervislik)	спорт (спорт полезен для здоровья)
jalgpall, jalgpalli, jalgpalli (jalgpall on populaarne)	футбол (футбол популярен)
kõndimine, kõndimise, kõndimist (kõndimine on tervislik)	ходьба (ходьба полезна)
jooks, jooksu, jooksu (jooks on kiire)	бег (бег быстрый)
sõit, sõidu, sõitu (sõit oli pikk)	поездка (поездка была длинной)
rong, rongi, rongi (rong on täis)	поезд (поезд полный)
lennuk, lennuki, lennukit (lennuk tõuseb õhku)	самолет (самолет взлетает)
buss, bussi, bussi (buss on pikk)	автобус (автобус длинный)
tee, tee, teed (tee on pikk)	дорога (дорога длинная)
sild, silla, silda (sild on vana)	мост (мост старый)
maantee, maantee, maanteed (maantee on sirge)	шоссе (шоссе прямое)
ratas, ratta, ratast (ratas on kiire)	велосипед (велосипед быстрый)
laev, laeva, laeva (laev on suur)	корабль (корабль большой)
kalender, kalendri, kalendrit (kalender on seinal)	календарь (календарь на стене)
raamat, raamatu, raamatut (raamat on paks)	книга (книга толстая)
ajakiri, ajakirja, ajakirja (ajakiri on huvitav)	журнал (журнал интересный)
õpik, õpiku, õpikut (õpik on uus)	учебник (учебник новый)
ajakava, ajakava, ajakava (ajakava on täpne)	расписание (расписание точное)
klaviatuur, klaviatuuri, klaviatuuri (klaviatuur on must)	клавиатура (клавиатура черная)
hiir, hiire, hiirt (hiir on väike)	мышь (мышь маленькая)
monitor, monitori, monitori (monitor on suur)	монитор (монитор большой)
kaamera, kaamera, kaamerat (kaamera on kallis)	камера (камера дорогая)
telefon, telefoni, telefoni (telefon on mobiilne)	телефон (телефон мобильный)
arvuti, arvuti, arvutit (arvuti on uus)	компьютер (компьютер новый)
printer, printeri, printerit (printer on kiire)	принтер (принтер быстрый)
kell, kella, kella (kell on täpne)	часы (часы точные)
aeg, aja, aega (aeg on kulunud)	время (время прошло)
päev, päeva, päeva (päev on päikseline)	день (день солнечный)
